geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
eri,Eritrea,,,,,,,,,,,,,,,,,,,26.28431,28.9562,30.80018,30.80018,30.80018,30.80018,30.80018,30.25408,30.25408,30.25408,28.81461,29.86613,28.81461,28.81461,28.81461,28.81461,27.21757,27.21757,27.21757,25.25394,26.10473,27.89203,27.89203,26.3086,26.3086,26.3086,27.47091,30.77714,31.89352
esp,Spain,27.70186,28.55256,37.80707,47.83599,48.59532,54.66332,56.33361,57.68762,59.86978,57.68762,58.00589,63.13492,63.13492,63.40818,64.23144,66.9518,68.59213,68.86188,67.23185,69.15312,69.15312,70.18781,70.18781,70.51954,70.51954,75.02187,75.02187,75.43023,76.14994,81.65872,83.71862,83.71862,83.71862,83.71862,83.71862,83.71862,83.71862,83.71862,83.71862,84.37282,84.37282,82.88039,87.98655,91.6607,91.6607,92.7933,86.14865
est,Estonia,,,,,,,,,,,,,,,,,77.1444,76.89141,75.40244,75.40244,76.39445,76.39445,76.39445,76.39445,76.7343,79.42781,79.42781,79.42781,79.42781,79.42781,79.42781,76.81923,77.76927,80.40526,80.70806,80.70806,80.11734,82.05409,81.35008,79.52977,85.57932,86.81878,83.00023,83.43634,83.43634,88.32507,87.84444
eth,Ethiopia,16.1445,16.1445,16.1445,16.1445,16.1445,22.09488,22.56695,22.56695,22.56695,18.10107,22.56695,18.10107,24.29738,21.59614,21.59614,21.59614,27.06277,27.91284,28.3472,29.55574,33.04204,30.74226,30.74226,30.74226,31.20186,32.98718,33.39893,33.39893,33.39893,33.39893,34.75685,34.75685,32.33009,30.89364,32.33009,32.45565,32.45565,30.21136,32.88982,32.88982,32.97467,29.43171,32.97467,33.65336,33.76416,53.05844,53.82225
fin,Finland,66.25797,66.25797,66.55487,66.55487,66.83195,69.917,71.99636,73.17459,72.66146,72.66146,73.92197,73.92197,73.02274,74.33454,74.33454,73.02274,74.76034,74.76034,73.38483,74.76034,77.15699,80.109,80.109,82.11822,82.11822,83.57453,81.83239,81.83239,82.47242,82.47242,82.47242,82.47242,84.33544,82.47242,84.33544,84.33544,84.33544,84.33544,84.33544,84.33544,84.33544,85.25109,81.9995,81.9995,94.74097,94.74097,94.74097
fji,Fiji,30.22667,30.22667,29.41225,29.41225,29.41225,29.58114,29.11336,29.11336,29.11336,29.23656,29.23656,29.23656,29.19457,29.19457,29.19457,29.19457,31.33888,32.66551,35.41383,40.15985,40.15985,40.15985,41.18309,42.2242,43.30453,42.89411,42.45325,42.45325,42.54065,42.7678,42.7678,42.99102,40.51972,40.51972,38.28142,39.09915,39.09915,40.12115,40.12115,44.61183,48.79503,46.58311,47.23459,47.66214,48.88651,48.12502,45.22847
fra,France,57.92924,57.92924,58.23384,58.3431,58.4683,60.30265,61.77304,61.77304,61.77304,61.77304,61.77304,62.07601,62.07601,62.07601,62.07601,69.99736,69.99736,71.63034,70.25049,70.25049,71.54683,70.25049,70.67663,73.97886,72.3523,76.63919,76.63919,78.95833,76.74578,78.95833,76.74578,76.74578,78.56017,81.88971,81.37171,81.37171,81.37171,82.82326,82.82326,80.52561,82.31548,83.24622,86.60413,87.66707,83.64465,87.66707,87.66707
gab,Gabon,32.92501,32.92501,32.92501,32.92501,33.30012,34.89987,36.01952,36.01952,37.83455,36.30305,37.83455,37.83455,36.58253,36.58253,38.10748,38.85055,43.93224,43.93224,43.93224,46.06308,46.06308,43.94896,44.71469,44.71469,44.99561,46.41886,48.26621,48.26621,48.514,48.514,48.514,48.92,49.56765,49.17977,49.17977,49.56765,48.21406,50.04912,50.05276,50.05276,50.27641,50.64778,52.18975,53.32697,54.62213,55.94205,55.94205
gbr,UK,59.84282,59.84282,61.42645,61.42645,61.25578,63.12362,61.86946,61.86946,61.94665,61.94665,62.20886,62.20886,64.19818,64.19818,64.45697,64.5548,61.82716,60.49205,60.49205,60.49205,60.7948,60.7948,63.28455,63.28455,63.28455,63.28455,63.28455,63.28455,63.28455,63.28455,67.24938,67.24938,68.25915,65.76692,67.53736,70.14359,70.14359,73.3062,73.3062,73.3062,74.08027,75.1887,74.54514,74.54514,67.08057,73.93572,74.75408
geo,Georgia,,,,,,,,,,,,,,,,,56.41427,54.89923,55.27795,58.45891,57.19392,57.19392,58.57698,58.57698,57.4075,57.4075,58.72416,58.72416,58.72416,61.38193,62.9266,62.9266,62.9266,61.8661,60.89542,62.71032,63.03692,64.57852,63.70636,63.54622,64.37082,65.56196,67.54079,71.37071,78.05733,78.58972,77.09845
